Stasiun,Curah Hujan,Latitude,Longitude
FL Tobing,4.6,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,229.5,1.55312,98.89738
FL Tobing,2.4,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,11.4,1.55312,98.89738
FL Tobing,8,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,68,1.55312,98.89738
FL Tobing,0.6,1.55312,98.89738
FL Tobing,0.6,1.55312,98.89738
FL Tobing,29.9,1.55312,98.89738
FL Tobing,28,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,2.4,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,1.4,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,31.7,1.55312,98.89738
FL Tobing,3.5,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,4.5,1.55312,98.89738
FL Tobing,9.4,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,1.7,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,35.4,1.55312,98.89738
FL Tobing,1.5,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,1,1.55312,98.89738
FL Tobing,22.9,1.55312,98.89738
FL Tobing,19,1.55312,98.89738
FL Tobing,4,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,7.5,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,18.5,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,7.4,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,31.3,1.55312,98.89738
FL Tobing,3.9,1.55312,98.89738
FL Tobing,3,1.55312,98.89738
FL Tobing,5.8,1.55312,98.89738
FL Tobing,1.2,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,7,1.55312,98.89738
FL Tobing,2.8,1.55312,98.89738
FL Tobing,14.8,1.55312,98.89738
FL Tobing,10.2,1.55312,98.89738
FL Tobing,28.9,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,4.2,1.55312,98.89738
FL Tobing,5.2,1.55312,98.89738
FL Tobing,7.4,1.55312,98.89738
FL Tobing,2,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,10.6,1.55312,98.89738
FL Tobing,4.5,1.55312,98.89738
FL Tobing,23.8,1.55312,98.89738
FL Tobing,10.2,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,24.5,1.55312,98.89738
FL Tobing,2,1.55312,98.89738
FL Tobing,107,1.55312,98.89738
FL Tobing,79.4,1.55312,98.89738
FL Tobing,11.3,1.55312,98.89738
FL Tobing,22,1.55312,98.89738
FL Tobing,3.6,1.55312,98.89738
FL Tobing,3.2,1.55312,98.89738
FL Tobing,13.6,1.55312,98.89738
FL Tobing,47.8,1.55312,98.89738
FL Tobing,164.6,1.55312,98.89738
FL Tobing,23,1.55312,98.89738
FL Tobing,62.2,1.55312,98.89738
FL Tobing,23.7,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,18.7,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,4.5,1.55312,98.89738
FL Tobing,24.2,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,72.1,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,37.6,1.55312,98.89738
FL Tobing,0.7,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,5.5,1.55312,98.89738
FL Tobing,1.5,1.55312,98.89738
FL Tobing,3.7,1.55312,98.89738
FL Tobing,7,1.55312,98.89738
FL Tobing,15.4,1.55312,98.89738
FL Tobing,4,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,36,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0.5,1.55312,98.89738
FL Tobing,0.7,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,8.5,1.55312,98.89738
FL Tobing,46.2,1.55312,98.89738
FL Tobing,4.8,1.55312,98.89738
FL Tobing,91.8,1.55312,98.89738
FL Tobing,33.2,1.55312,98.89738
FL Tobing,20,1.55312,98.89738
FL Tobing,9.2,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,8.3,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,68.5,1.55312,98.89738
FL Tobing,9.2,1.55312,98.89738
FL Tobing,26,1.55312,98.89738
FL Tobing,1.6,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,26.6,1.55312,98.89738
FL Tobing,12.4,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,24.1,1.55312,98.89738
FL Tobing,7.5,1.55312,98.89738
FL Tobing,11.8,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,5,1.55312,98.89738
FL Tobing,2.4,1.55312,98.89738
FL Tobing,22.8,1.55312,98.89738
FL Tobing,5,1.55312,98.89738
FL Tobing,12,1.55312,98.89738
FL Tobing,7,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0.8,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,93,1.55312,98.89738
FL Tobing,6,1.55312,98.89738
FL Tobing,29.9,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,28.2,1.55312,98.89738
FL Tobing,10.4,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,1,1.55312,98.89738
FL Tobing,0.3,1.55312,98.89738
FL Tobing,0.5,1.55312,98.89738
FL Tobing,9.5,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,7.8,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,53.8,1.55312,98.89738
FL Tobing,6.5,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,7.2,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,1.6,1.55312,98.89738
FL Tobing,37.6,1.55312,98.89738
FL Tobing,8.1,1.55312,98.89738
